First Year Degree Engineering - First Round - Closing Rank - Institute Wise (A.Y. 2024-25),,,,,,,
,,,,,,,
Inst_Name,Course_name,Alloted_Cat,Quota,Institute Type,First Rank,Last Rank,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",FOOD PROCESSING TECHNOLOGY,SEBC,GUJCET-Based,Self-Finance,10878.00,21651.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER ENGINEERING,SC,GUJCET-Based,Self-Finance,11209.00,11816.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER ENGINEERING,ESM,GUJCET-Based,Self-Finance,12075.00,12075.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ELECTRONICS & COMMUNICATION ENGINEERING,EWS,GUJCET-Based,Self-Finance,12755.00,13451.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",DAIRY TECHNOLOGY,GEN,GUJCET-Based,Self-Finance,13275.00,29081.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ELECTRONICS & COMMUNICATION ENGINEERING,SEBC,GUJCET-Based,Self-Finance,13353.00,26097.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",MECHANICAL ENGINEERING,GEN,GUJCET-Based,Self-Finance,13857.00,28939.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",INFORMATION TECHNOLOGY,SC,GUJCET-Based,Self-Finance,13897.00,18753.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ELECTRICAL ENGINEERING,GEN,GUJCET-Based,Self-Finance,15199.00,27033.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,SC,GUJCET-Based,Self-Finance,17175.00,20091.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",CIVIL ENGINEERING,GEN,GUJCET-Based,Self-Finance,19653.00,38360.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",FOOD PROCESSING TECHNOLOGY,SC,GUJCET-Based,Self-Finance,20922.00,27360.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER SCIENCE & DESIGN,SC,GUJCET-Based,Self-Finance,22081.00,24875.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",AUTOMOBILE ENGINEERING,GEN,GUJCET-Based,Self-Finance,23170.00,35898.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ELECTRONICS & COMMUNICATION ENGINEERING,SC,GUJCET-Based,Self-Finance,27824.00,27824.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,ESM,GUJCET-Based,Self-Finance,28234.00,28234.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",INFORMATION TECHNOLOGY,ESM,GUJCET-Based,Self-Finance,28967.00,28967.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",MECHANICAL ENGINEERING,EWS,GUJCET-Based,Self-Finance,28974.00,37828.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ELECTRICAL ENGINEERING,EWS,GUJCET-Based,Self-Finance,29248.00,29248.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ELECTRICAL ENGINEERING,SEBC,GUJCET-Based,Self-Finance,30590.00,37290.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",DAIRY TECHNOLOGY,EWS,GUJCET-Based,Self-Finance,30816.00,38390.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ELECTRICAL ENGINEERING,SC,GUJCET-Based,Self-Finance,31592.00,31592.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",MECHANICAL ENGINEERING,SEBC,GUJCET-Based,Self-Finance,33600.00,38659.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",DAIRY TECHNOLOGY,SEBC,GUJCET-Based,Self-Finance,34260.00,34924.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",INFORMATION TECHNOLOGY,ST,GUJCET-Based,Self-Finance,35925.00,35925.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",FOOD PROCESSING TECHNOLOGY,ST,GUJCET-Based,Self-Finance,36246.00,37547.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",MECHANICAL ENGINEERING,SC,GUJCET-Based,Self-Finance,36279.00,36279.00,
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ELECTRICAL ENGINEERING,ST,GUJCET-Based,Self-Finance,38020.00,38020.00,
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),GEN,GUJCET-Based,Self-Finance,303.00,3830.00,
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",INFORMATION & COMMUNICATION TECHNOLOGY - TFWS,TFWs,GUJCET-Based,Self-Finance,451.00,2568.00,
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING) - TFWS,TFWs,GUJCET-Based,Self-Finance,812.00,1816.00,
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",INFORMATION & COMMUNICATION TECHNOLOGY,GEN,GUJCET-Based,Self-Finance,1272.00,5037.00,
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),EWS,GUJCET-Based,Self-Finance,3933.00,4378.00,
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),SEBC,GUJCET-Based,Self-Finance,4550.00,8076.00,
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),SC,GUJCET-Based,Self-Finance,4738.00,11685.00,
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",INFORMATION & COMMUNICATION TECHNOLOGY,EWS,GUJCET-Based,Self-Finance,5059.00,5342.00,
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",INFORMATION & COMMUNICATION TECHNOLOGY,SEBC,GUJCET-Based,Self-Finance,6952.00,10529.00,
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",INFORMATION & COMMUNICATION TECHNOLOGY,SC,GUJCET-Based,Self-Finance,8015.00,16025.00,
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",INFORMATION & COMMUNICATION TECHNOLOGY,ESM,GUJCET-Based,Self-Finance,12061.00,12061.00,
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),ESM,GUJCET-Based,Self-Finance,17429.00,18120.00,
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),ST,GUJCET-Based,Self-Finance,19350.00,31333.00,
ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,BIOTECHNOLOGY,GEN,GUJCET-Based,Self-Finance,748.00,33413.00,
ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,COMPUTER SCIENCE & ENGINEERING,GEN,GUJCET-Based,Self-Finance,5052.00,38921.00,
ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,COMPUTER ENGINEERING,GEN,GUJCET-Based,Self-Finance,5758.00,38894.00,
ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,COMPUTER SCIENCE & ENGINEERING - TFWS,TFWs,GUJCET-Based,Self-Finance,6071.00,13129.00,
ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,INFORMATION TECHNOLOGY,GEN,GUJCET-Based,Self-Finance,8644.00,38447.00,
ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,CHEMICAL ENGINEERING,GEN,GUJCET-Based,Self-Finance,10052.00,38118.00,
ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,CIVIL ENGINEERING,GEN,GUJCET-Based,Self-Finance,14502.00,37173.00,
ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,MECHANICAL ENGINEERING,GEN,GUJCET-Based,Self-Finance,16814.00,34447.00,
ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,ELECTRICAL ENGINEERING,GEN,GUJCET-Based,Self-Finance,26043.00,35063.00,
ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,BIOTECHNOLOGY,SEBC,GUJCET-Based,Self-Finance,33414.00,35378.00,
ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,BIOTECHNOLOGY,EWS,GUJCET-Based,Self-Finance,33565.00,37373.00,
ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,BIOTECHNOLOGY,SC,GUJCET-Based,Self-Finance,36334.00,36334.00,
ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,BIOTECHNOLOGY,GEN-PH,GUJCET-Based,Self-Finance,38371.00,38371.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",COMPUTER ENGINEERING,GEN,GUJCET-Based,Self-Finance,907.00,9717.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",ARTIFICIAL INTELLIGENCE(AI) AND MACHINE LEARNING - TFW,TFWs,GUJCET-Based,Self-Finance,1805.00,2651.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",COMPUTER SCIENCE & ENGINEERING (DATA SCIENCE),GEN,GUJCET-Based,Self-Finance,2804.00,7789.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",INFORMATION TECHNOLOGY - TFWS,TFWs,GUJCET-Based,Self-Finance,3729.00,5977.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",INFORMATION TECHNOLOGY,GEN,GUJCET-Based,Self-Finance,4033.00,12397.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",ARTIFICIAL INTELLIGENCE(AI) AND MACHINE LEARNING,GEN,GUJCET-Based,Self-Finance,4669.00,8555.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",COMPUTER SCIENCE & ENGINEERING (CYBER SECURITY),GEN,GUJCET-Based,Self-Finance,4696.00,10238.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",ELECTRONICS & COMMUNICATION ENGINEERING,GEN,GUJCET-Based,Self-Finance,7373.00,14683.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",MECHANICAL ENGINEERING,GEN,GUJCET-Based,Self-Finance,7822.00,22468.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",COMPUTER SCIENCE & ENGINEERING (DATA SCIENCE),EWS,GUJCET-Based,Self-Finance,8048.00,9329.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",ARTIFICIAL INTELLIGENCE(AI) AND MACHINE LEARNING,EWS,GUJCET-Based,Self-Finance,8679.00,9190.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",COMPUTER ENGINEERING,EWS,GUJCET-Based,Self-Finance,9728.00,10346.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",COMPUTER ENGINEERING,SEBC,GUJCET-Based,Self-Finance,9752.00,20954.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",COMPUTER SCIENCE & ENGINEERING (CYBER SECURITY),EWS,GUJCET-Based,Self-Finance,10408.00,11022.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",COMPUTER SCIENCE & ENGINEERING (DATA SCIENCE),SC,GUJCET-Based,Self-Finance,10689.00,10689.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",COMPUTER ENGINEERING,SC,GUJCET-Based,Self-Finance,11811.00,23148.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",ARTIFICIAL INTELLIGENCE(AI) AND MACHINE LEARNING,SEBC,GUJCET-Based,Self-Finance,11813.00,19073.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",INFORMATION TECHNOLOGY,EWS,GUJCET-Based,Self-Finance,12430.00,12949.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",COMPUTER SCIENCE & ENGINEERING (DATA SCIENCE),SEBC,GUJCET-Based,Self-Finance,12555.00,21097.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",INFORMATION TECHNOLOGY,SEBC,GUJCET-Based,Self-Finance,13048.00,26475.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",ELECTRICAL ENGINEERING,GEN,GUJCET-Based,Self-Finance,13698.00,26786.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",CIVIL ENGINEERING,GEN,GUJCET-Based,Self-Finance,14627.00,27852.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",ELECTRONICS & COMMUNICATION ENGINEERING,EWS,GUJCET-Based,Self-Finance,15928.00,17152.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",ELECTRONICS & COMMUNICATION ENGINEERING,SEBC,GUJCET-Based,Self-Finance,16090.00,26955.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",COMPUTER SCIENCE & ENGINEERING (CYBER SECURITY),SEBC,GUJCET-Based,Self-Finance,16962.00,19300.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",INFORMATION TECHNOLOGY,SC,GUJCET-Based,Self-Finance,18936.00,29971.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",AUTOMOBILE ENGINEERING,GEN,GUJCET-Based,Self-Finance,20495.00,37849.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",COMPUTER ENGINEERING,ESM,GUJCET-Based,Self-Finance,22204.00,22204.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",INFORMATION TECHNOLOGY,ESM,GUJCET-Based,Self-Finance,23011.00,23011.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",MECHANICAL ENGINEERING,EWS,GUJCET-Based,Self-Finance,24213.00,28530.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",ARTIFICIAL INTELLIGENCE(AI) AND MACHINE LEARNING,SC,GUJCET-Based,Self-Finance,24676.00,24676.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",CIVIL ENGINEERING,EWS,GUJCET-Based,Self-Finance,29586.00,30267.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",ELECTRICAL ENGINEERING,EWS,GUJCET-Based,Self-Finance,30888.00,31087.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",ELECTRONICS & COMMUNICATION ENGINEERING,SC,GUJCET-Based,Self-Finance,31118.00,31118.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",COMPUTER SCIENCE & ENGINEERING (CYBER SECURITY),SC,GUJCET-Based,Self-Finance,31697.00,32956.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",MECHANICAL ENGINEERING,SEBC,GUJCET-Based,Self-Finance,32725.00,38943.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",ELECTRICAL ENGINEERING,SEBC,GUJCET-Based,Self-Finance,33442.00,38767.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",COMPUTER ENGINEERING,ST,GUJCET-Based,Self-Finance,37201.00,37201.00,
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",CIVIL ENGINEERING,SEBC,GUJCET-Based,Self-Finance,37358.00,38283.00,
"AHMEDABAD UNIVERSITY, AHMEDABAD",COMPUTER SCIENCE & ENGINEERING - TFWS,TFWs,GUJCET-Based,Self-Finance,509.00,952.00,
"AHMEDABAD UNIVERSITY, AHMEDABAD",COMPUTER SCIENCE & ENGINEERING,GEN,GUJCET-Based,Self-Finance,666.00,1876.00,
"AHMEDABAD UNIVERSITY, AHMEDABAD",COMPUTER SCIENCE & ENGINEERING,EWS,GUJCET-Based,Self-Finance,2001.00,2274.00,
"AHMEDABAD UNIVERSITY, AHMEDABAD",ELECTRICAL AND ELECTRONICS ENGINEERING,GEN,GUJCET-Based,Self-Finance,2469.00,3357.00,
"AHMEDABAD UNIVERSITY, AHMEDABAD",COMPUTER SCIENCE & ENGINEERING,SEBC,GUJCET-Based,Self-Finance,2771.00,4980.00,
"AHMEDABAD UNIVERSITY, AHMEDABAD",ELECTRICAL AND ELECTRONICS ENGINEERING - TFWS,TFWs,GUJCET-Based,Self-Finance,2818.00,2818.00,
"AHMEDABAD UNIVERSITY, AHMEDABAD",MECHANICAL ENGINEERING - TFWS,TFWs,GUJCET-Based,Self-Finance,3157.00,3157.00,
"AHMEDABAD UNIVERSITY, AHMEDABAD",MECHANICAL ENGINEERING,GEN,GUJCET-Based,Self-Finance,3325.00,6732.00,
"AHMEDABAD UNIVERSITY, AHMEDABAD",COMPUTER SCIENCE & ENGINEERING,SC,GUJCET-Based,Self-Finance,4748.00,8536.00,
"AHMEDABAD UNIVERSITY, AHMEDABAD",ELECTRICAL AND ELECTRONICS ENGINEERING,SEBC,GUJCET-Based,Self-Finance,5246.00,7679.00,
"AHMEDABAD UNIVERSITY, AHMEDABAD",CHEMICAL AND ENVIRONMENTAL ENGINEERING,GEN,GUJCET-Based,Self-Finance,5631.00,7844.00,
"AHMEDABAD UNIVERSITY, AHMEDABAD",COMPUTER SCIENCE & ENGINEERING,ESM,GUJCET-Based,Self-Finance,5807.00,5807.00,
"AHMEDABAD UNIVERSITY, AHMEDABAD",MECHANICAL ENGINEERING,SEBC,GUJCET-Based,Self-Finance,11660.00,11814.00,
"AHMEDABAD UNIVERSITY, AHMEDABAD",MECHANICAL ENGINEERING,EWS,GUJCET-Based,Self-Finance,13133.00,13133.00,
"AHMEDABAD UNIVERSITY, AHMEDABAD",CHEMICAL AND ENVIRONMENTAL ENGINEERING,EWS,GUJCET-Based,Self-Finance,16011.00,16011.00,
"AHMEDABAD UNIVERSITY, AHMEDABAD",CHEMICAL AND ENVIRONMENTAL ENGINEERING,SC,GUJCET-Based,Self-Finance,17946.00,17946.00,
"AHMEDABAD UNIVERSITY, AHMEDABAD",CHEMICAL AND ENVIRONMENTAL ENGINEERING,SEBC,GUJCET-Based,Self-Finance,25103.00,25103.00,
"AHMEDABAD UNIVERSITY, AHMEDABAD",MECHANICAL ENGINEERING,SC,GUJCET-Based,Self-Finance,28003.00,28003.00,
"AHMEDABAD UNIVERSITY, AHMEDABAD",COMPUTER SCIENCE & ENGINEERING,ST,GUJCET-Based,Self-Finance,36296.00,37362.00,
"ANANT SCHOOL FOR CLIMATE ACTION, AHMEDABAD",CLIMATE CHANGE,GEN,GUJCET-Based,Self-Finance,13889.00,32442.00,
APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY AHMEDABAD,COMPUTER ENGINEERING,GEN,GUJCET-Based,Self-Finance,5513.00,28511.00,
APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY AHMEDABAD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,GEN,GUJCET-Based,Self-Finance,8882.00,19231.00,
APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY AHMEDABAD,INFORMATION TECHNOLOGY,GEN,GUJCET-Based,Self-Finance,12099.00,38827.00,
APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY AHMEDABAD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,EWS,GUJCET-Based,Self-Finance,19319.00,20296.00,
APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY AHMEDABAD,MECHANICAL ENGINEERING,GEN,GUJCET-Based,Self-Finance,22519.00,37578.00,
APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY AHMEDABAD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,SEBC,GUJCET-Based,Self-Finance,23339.00,37951.00,
APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY AHMEDABAD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,SC,GUJCET-Based,Self-Finance,23806.00,29195.00,
APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY AHMEDABAD,COMPUTER ENGINEERING,EWS,GUJCET-Based,Self-Finance,28827.00,31408.00,
APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY AHMEDABAD,COMPUTER ENGINEERING,SC,GUJCET-Based,Self-Finance,29446.00,37870.00,
APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY AHMEDABAD,COMPUTER ENGINEERING,SEBC,GUJCET-Based,Self-Finance,30280.00,38082.00,
APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY AHMEDABAD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,ST,GUJCET-Based,Self-Finance,31979.00,31979.00,
APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY AHMEDABAD,COMPUTER ENGINEERING,ESM,GUJCET-Based,Self-Finance,32150.00,32150.00,
APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY AHMEDABAD,COMPUTER ENGINEERING,ST,GUJCET-Based,Self-Finance,38548.00,38548.00,
"ARUN MUNCHHALA ENGINEERING COLLEGE, AMRELI",COMPUTER ENGINEERING,GEN,GUJCET-Based,Self-Finance,15602.00,35906.00,
ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH. BARDOLI,COMPUTER SCIENCE & ENGINEERING - TFWS,TFWs,GUJCET-Based,Self-Finance,2866.00,10871.00,
ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH. BARDOLI,COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING) - TFWS,TFWs,GUJCET-Based,Self-Finance,5610.00,5610.00,
ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH. BARDOLI,COMPUTER SCIENCE & ENGINEERING,GEN,GUJCET-Based,Self-Finance,7968.00,38804.00,
ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH. BARDOLI,INFORMATION TECHNOLOGY,GEN,GUJCET-Based,Self-Finance,10300.00,38467.00,
